group,sc1,sc2_1,sc4,sc5,q1_1,q2_1,q4_1,q5_1,q5_2,q5_3,q5_4,q6_1,q6_2,q6_3,q6_4,q6_5,q6_6,q6_7,q6_8,q6_9,q6_10,q6_11,q6_12,q6_13,q6_14,q6_15,q6_16,q6_17,q6_18,q6_19,q6_20,q6_21,q6_22,q6_23,q6_24,q6_25,q6_26,q6_27,q6_28,q6_29,q6_30,q6_31,q6_32,q6_33,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_8,q7_9,q7_10,q7_11,q7_12,q7_13,q7_14,q7_15,q7_16,q7_17,q7_18,q7_19,q7_20,q7_21,q7_22,q7_23,q7_24,q7_25,q7_26,q7_27,q7_28,q7_29,q7_30,q7_31,q7_32,q7_33,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q8_8,q8_9,q8_10,q8_11,q8_12,q8_13,q8_14,q8_15,q8_16,q8_17,q8_18,q8_19,q8_20,q8_21,q8_22,q8_23,q8_24,q8_25,q8_26,q8_27,q8_28,q8_29,q8_30,q8_31,q8_32,q8_33
10,2,61,2,1,3,70,2,4,2,1,2,2,5,2,2,4,2,2,2,2,3,8,5,2,2,2,3,4,4,3,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,3,2,2,3,2,2,2,3,1,2,2,2,2,2,2,3,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,7,4,2,6,6,2,1,2,2,2,7,6,2,1,2,2,8,8,8,2,5,5,1,8,8,3,4,8,8,8,1,5,3
8,2,47,2,1,5,95,5,3,3,3,3,3,13,2,1,3,3,1,1,1,2,8,3,2,5,1,4,5,5,5,5,3,2,2,2,4,2,1,3,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,14,2,2,4,14,3,3,3,3,3,8,8,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,15,4,4
20,2,63,2,4,2,90,5,1,2,1,1,3,6,3,2,3,2,2,2,2,3,8,6,2,14,2,3,3,3,3,4,3,2,2,2,2,3,1,3,3,3,8,2,3,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,14,3,2,14,14,8,1,5,8,4,8,8,1,1,2,2,8,8,8,2,6,6,2,2,2,8,3,14,14,14,14,8,8
15,1,61,2,3,2,50,1,3,2,3,3,2,3,3,2,2,2,2,2,2,2,7,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,2,63,2,1,3,80,1,4,4,4,3,2,3,3,3,3,3,3,3,2,3,5,3,2,4,1,1,4,4,4,4,3,5,2,2,3,5,4,4,5,4,1,1,1,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,9,6,7,8,9,7,5,8,7,7,7,5,6,7,3,3,5,6,7,5,4,3,5,7,5,5,5,5,6,6,15,15,15
11,1,26,1,4,1,100,2,4,3,3,3,2,7,2,2,2,2,2,2,2,1,5,5,2,2,2,2,2,2,2,3,3,2,3,2,2,3,2,3,3,1,1,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,2,2,2,2,2,6,3,1,2,4,1,1,1,1,2,5,3,1,1,1,1,3,3,2,2,4,2,1,2,1,2,1,4,4,3,1,3,1
18,2,44,2,3,44,80,3,4,3,3,3,2,3,1,1,2,1,1,2,2,1,4,2,1,1,2,1,2,1,3,2,1,1,2,4,1,3,1,2,2,1,1,1,1,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,2,3,2,2,2,2,2,8,4,1,8,14,3,1,15,15,1,8,3,1,1,1,3,7,7,7,15,2,3,1,5,5,5,3,14,14,14,15,6,15
14,1,50,1,4,1,100,1,4,5,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,3,1,3,1,1,1,1,1,1,1,3,2,2,2,3,3,2,2,2,2,3,3,2,2,2,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,2,2,2,15,8,15,2,8,1,1,15,15,15,15,15,1,1,1,1,8,8,15,15,8,2,1,8,2,2,2,15,15,15,15,2,15
20,2,62,1,4,1,100,2,5,4,3,3,2,5,1,1,2,2,1,1,1,1,5,3,1,1,1,3,3,3,3,1,2,2,2,2,2,3,1,3,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,8,6,1,8,14,2,1,1,1,1,8,8,1,15,15,1,2,2,2,15,3,3,1,2,2,1,3,14,2,2,15,8,15
18,2,47,2,4,2,90,5,5,2,3,3,3,5,3,2,5,2,2,4,4,3,11,8,2,3,3,4,3,3,3,5,3,3,4,3,2,3,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,14,4,2,8,14,4,3,8,4,2,8,8,2,2,2,2,8,8,8,1,5,6,1,3,3,3,3,14,14,8,1,6,1
9,2,55,2,2,1,100,2,5,4,4,3,3,6,2,2,4,3,2,2,2,2,8,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,1,3,2,1,8,1,1,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,2,2,3,8,3,1,8,8,3,1,1,1,1,8,2,1,1,6,1,6,6,6,1,3,3,1,8,1,2,3,8,8,8,8,8,1
4,1,58,2,2,2,80,5,3,2,3,3,12,8,4,3,4,2,1,1,1,2,7,3,1,1,1,1,3,3,3,1,2,2,2,1,1,1,1,3,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,5,2,11,14,6,2,2,2,2,8,6,2,2,15,2,3,3,3,1,2,2,5,15,15,1,2,14,2,14,15,3,8
20,2,63,2,4,2,80,9,5,2,2,4,2,8,2,2,3,3,2,5,5,4,5,9,2,4,3,6,4,3,3,3,2,3,2,4,3,3,2,4,3,2,5,2,3,1,1,2,2,2,2,2,2,2,1,2,1,2,3,3,3,1,2,2,3,2,3,2,3,3,3,2,2,2,1,3,2,1,11,3,2,8,14,2,1,1,1,2,8,8,1,1,1,1,3,3,3,2,4,1,1,2,4,2,3,8,8,11,15,4,3
18,2,49,1,4,1,100,1,3,4,3,3,1,4,1,1,2,1,1,1,1,1,2,1,1,1,1,2,4,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,8,1,1,8,8,2
16,2,29,1,4,2,90,3,4,3,4,3,2,5,1,1,2,2,1,1,1,1,5,3,1,1,1,1,3,2,2,1,2,2,1,2,2,2,1,3,2,2,1,1,1,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,8,5,1,14,14,1,1,15,15,1,8,8,2,1,1,1,8,8,8,15,8,3,1,8,1,8,8,8,8,8,15,6,15
12,1,38,1,4,3,5,1,5,5,5,5,3,5,3,1,4,3,2,2,2,5,8,5,2,5,8,5,4,3,3,3,2,3,2,5,5,5,2,5,2,2,5,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,3,2,3,3,2,2,3,3,3,2,2,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,2,35,2,1,3,50,3,5,5,5,3,5,5,1,1,5,1,1,1,1,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,15,15,8,15,15,15,15,15,7,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,15,4,15
8,2,44,2,1,1,100,3,5,5,2,3,3,6,1,2,4,2,2,1,1,2,5,4,2,2,2,3,3,3,3,1,2,2,2,2,1,5,1,4,1,2,1,1,1,3,2,2,2,3,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,8,4,1,8,8,8,1,1,1,1,8,3,1,1,8,1,11,11,11,1,8,3,2,8,8,1,6,11,1,8,1,8,1
20,2,67,2,3,2,100,3,3,3,3,3,2,4,2,2,3,3,3,2,2,3,4,4,3,4,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,6,7,7,7,6,6,5,7,7,7,7,7,7,7,7,7,7
16,2,20,2,4,2,50,5,3,3,3,3,2,5,2,2,3,3,2,3,3,2,5,4,2,2,2,2,3,2,2,2,2,2,2,2,2,3,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,15,8,8
15,1,63,2,3,2,40,2,2,1,3,3,3,11,2,1,3,3,1,2,2,3,8,4,1,3,2,4,3,2,3,4,2,2,2,5,1,3,2,3,2,2,5,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,15,15,8,15,15,15,15,15,3,3,15,15,15,15,2,3,3,15,15,8,2,2,3,6,3,8,3,3,8,8,15
7,2,39,2,1,2,40,4,2,2,1,4,4,3,4,5,5,4,3,4,3,3,3,4,3,2,3,3,2,3,2,2,2,3,3,2,2,3,2,3,2,2,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,1,2,5,9,5,8,8,7,8,7,8,8,9,8,8,7,9,9,8,8,9,9,8,9,9,8,8,9,9,8,8,9,9,8,9
2,1,37,2,1,4,50,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,5,5,1,3,2,5,3,2,3,3,2,2,1,1,1,2,1,3,2,2,1,1,3,2,1,1,2,2,3,1,2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,1,44,1,4,3,1,1,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,2,26,2,1,3,9,3,1,1,2,2,4,6,1,2,3,2,1,2,2,2,6,5,1,6,3,6,3,3,3,3,2,2,2,4,2,3,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,1,8,8,3,1,1,1,2,8,8,1,1,1,2,8,8,8,1,4,4,1,4,4,3,4,8,8,8,1,5,1
15,1,63,2,4,2,10,1,2,3,2,2,2,4,2,1,2,2,2,2,2,2,4,4,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,1,4,8,2,2,2,2,2,8,6,2,2,2,2,8,8,8,5,2,5,2,8,8,5,2,8,8,8,8,8,5
4,1,54,2,1,2,10,1,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,8,8,8,8,1,1
9,2,54,2,1,3,95,4,4,3,3,3,3,8,5,2,3,3,2,8,3,3,7,4,3,8,2,5,3,3,3,6,3,2,2,3,1,3,2,3,1,1,1,2,1,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,3,2,14,14,3,2,2,2,2,14,4,2,1,2,2,8,8,8,6,4,4,2,6,3,3,4,14,14,14,15,8,15
8,2,49,2,2,1,100,3,2,2,2,3,3,5,2,2,3,3,2,2,2,3,5,5,2,2,2,3,3,3,3,1,2,2,2,3,2,3,1,2,2,2,1,1,1,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,2,2,2,2,3,2,2,4,2,1,7,7,2,1,1,1,1,7,6,1,1,5,1,5,5,5,1,4,4,2,2,7,2,2,7,7,7,1,1,1
7,2,33,2,1,3,90,2,2,2,2,2,1,2,3,3,2,2,2,2,2,2,4,4,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,1,3,3,1,8,8,7,2,2,2,2,7,7,1,1,1,1,7,7,7,7,3,3,3,6,8,5,5,8,8,8,8,8,8
7,2,34,2,1,4,100,5,3,3,3,1,3,4,2,1,4,2,2,1,1,2,7,5,2,2,2,3,3,2,4,2,2,1,1,3,3,2,1,4,2,1,1,2,1,2,1,3,2,2,3,2,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,3,3,3,2,2,11,3,1,11,11,6,4,4,4,2,8,5,2,2,2,3,7,7,8,2,4,4,2,8,3,8,4,12,12,12,1,3,1
8,2,40,2,1,3,60,2,5,5,5,5,3,5,2,1,4,3,1,3,3,3,5,5,2,3,3,5,4,3,4,4,2,2,2,2,2,4,1,3,3,2,5,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,1,8,14,2,2,2,2,2,2,2,2,2,2,2,8,8,8,2,8,2,2,3,2,2,3,14,14,14,15,2,15
5,1,66,2,2,1,5,1,3,4,3,4,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1
4,1,55,2,2,2,0,1,3,3,3,3,2,4,2,1,2,3,2,2,2,3,5,4,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,4,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,2,47,1,4,2,80,2,2,5,4,3,1,6,2,2,4,3,2,4,3,3,4,4,2,3,3,4,3,3,3,3,3,3,4,3,3,3,2,4,3,3,3,2,3,2,1,2,2,3,3,2,3,2,2,3,2,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,8,2,1,2,8,1,2,2,2,2,8,8,1,1,1,1,4,4,4,1,5,3,1,2,4,2,3,6,8,8,8,8,2
6,2,29,2,1,2,90,3,3,4,3,3,2,5,2,2,3,2,2,1,1,2,6,5,2,2,3,3,3,3,3,3,3,2,2,3,3,3,2,4,2,2,1,2,2,3,2,3,2,3,3,2,2,2,2,3,3,2,2,3,3,2,2,3,3,2,3,2,3,3,3,2,3,2,2,2,2,2,3,3,2,14,14,6,2,2,2,1,7,7,2,1,1,1,8,8,8,1,8,2,2,8,2,2,6,8,4,8,1,5,4
3,1,45,2,2,6,10,0,4,3,4,3,2,4,3,1,3,3,3,3,3,3,4,4,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,6,4
11,1,29,1,4,3,10,2,5,4,4,4,5,8,5,2,3,3,2,3,4,4,5,5,3,4,3,5,4,3,4,5,3,3,3,5,3,4,2,4,3,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,15,1,2,15,15,15,15,15,1,2,15,15,15,15,3,5,2,1,2,2,2,15,15,15,15,2,2,2,15,2,15
14,1,59,2,3,2,3,1,5,4,5,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1
4,1,53,2,1,2,5,1,4,4,4,3,1,1,1,1,2,3,1,1,1,1,1,1,1,3,3,4,4,4,4,4,3,3,3,3,3,4,2,3,3,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,15,15,15,3,8,15,15,15,15,15,15,15,15,15,15,15,15,3,3,15,15,15,1,8,15,15,15,8,8,8,15,15,15
6,2,25,2,1,4,4,9,1,3,3,4,4,5,2,1,1,1,1,1,1,1,6,6,1,14,1,2,3,2,3,3,2,2,3,3,1,3,1,3,3,2,1,1,1,3,1,3,2,2,2,3,3,3,2,2,2,2,3,3,3,1,2,3,3,1,2,3,3,2,2,2,3,2,2,2,2,2,4,4,2,8,8,8,2,2,2,5,8,3,1,1,8,3,8,8,8,8,3,3,1,8,8,2,3,8,8,8,1,8,1
19,2,50,2,3,1,100,2,5,5,5,2,3,6,2,1,4,2,1,1,1,2,5,5,2,12,2,3,3,2,3,4,3,2,2,2,2,2,1,4,2,2,5,1,2,3,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,3,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,8,8,8,1,2,2,2,8,4,1,1,1,2,8,8,8,1,8,3,1,8,8,8,8,8,8,8,8,8,2
13,1,49,1,4,3,30,1,3,2,3,3,2,8,2,2,3,5,2,3,3,3,6,4,2,3,2,2,3,3,2,1,3,2,2,3,2,1,2,3,2,2,1,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,8,2,1,1,3,2,1,1,1,1,8,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,5,1
15,1,62,2,4,2,10,1,4,5,3,2,1,6,2,2,2,1,1,1,1,2,1,2,1,2,2,3,3,3,2,1,1,1,1,3,1,2,1,2,2,2,5,1,1,3,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,2,3,3,3,2,3,3,2,1,2,2,1,1,1,2,2,1,1,2,1,1,1,3,2,2,2,1,2,2,1,1,2,3,2,2,1,2,2,1,1,1,8,3,1
19,2,55,1,4,1,100,2,3,3,3,3,3,5,2,2,3,3,2,3,3,4,4,4,2,3,3,3,3,3,3,4,3,2,3,3,3,2,1,3,2,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,2,1,11,14,2,1,1,2,2,8,3,1,1,1,2,3,3,3,3,8,6,1,2,2,3,4,12,12,12,15,4,15
5,1,65,2,2,2,5,1,5,5,5,2,5,8,5,3,5,4,3,4,4,3,8,5,3,5,5,5,5,5,5,5,5,3,5,5,3,5,3,4,3,3,11,3,5,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,2,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2,15,15,15,15,15,15,15,6,2,2
4,1,56,2,1,4,10,0,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,3,1,1,1,1,1,1,3,1
5,1,66,2,2,4,10,2,2,2,2,3,3,3,4,3,2,3,4,3,2,1,2,3,4,3,2,1,2,3,4,5,5,4,3,2,1,2,3,4,5,6,5,4,3,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,3,1,1,8,7,7,5,4,5,4,5,4,3,4,5,5,4,3,2,1,2,3,4,4,3,2,3,4,5,6,7,6,5,5,4,3
9,2,56,2,1,2,80,2,3,3,2,3,3,5,3,3,4,3,2,2,3,3,5,4,3,3,2,3,4,3,3,3,3,2,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,8,6,1,7,7,3,1,4,4,3,7,3,2,8,3,2,8,8,9,2,4,4,2,8,8,4,4,8,8,8,1,8,8
16,2,24,1,4,4,50,2,5,5,5,3,1,5,2,2,2,3,1,2,2,2,1,1,2,3,1,1,3,2,3,1,2,6,5,2,2,2,2,3,3,3,2,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,8,2,1,11,8,8,8,8,8,8,1,1,8,8,1,8,8,8,8,1,8,8,4,8,8,8,8,8,8,8,14,1,1
12,1,35,1,4,2,10,1,3,3,3,3,1,1,1,1,3,1,1,1,1,1,5,2,1,1,2,1,2,2,2,2,2,2,2,3,1,2,1,2,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,15,15,14,15,1,15,15,15,4,15,15,15,5,15,5,5,5,15,15,15,1,15,8,15,15,14,15,14,15,15,15
20,2,69,1,4,1,100,2,4,3,3,5,3,4,2,2,3,2,2,2,2,2,4,4,2,2,2,3,4,3,3,2,2,2,2,3,2,4,2,2,2,2,1,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,8,2,1,8,8,2,2,2,2,2,8,3,2,2,2,2,3,3,3,3,2,2,2,3,3,3,2,8,8,8,15,4,15
4,1,51,2,1,4,40,2,1,1,3,2,3,3,3,3,3,3,3,3,3,3,5,5,2,2,2,2,4,4,4,3,3,3,3,5,3,4,2,4,4,4,2,2,2,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,2,2,2,2,2,2,3,2,2,2,2,8,8,4,1,3,3,1,1,1,2,2,8,8,8,8,4,2
17,2,32,1,4,1,100,1,3,4,1,3,1,5,1,1,3,2,1,4,4,4,4,4,1,5,5,3,3,2,3,5,2,1,2,3,1,2,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,3,3,1,2,2,2,1,2,2,3,2,2,2,2,3,2,2,3,3,3,2,2,2,2,2,1,2,2,2,3,2,3,2,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,1,2,2,2
12,1,33,1,4,1,100,1,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,7,5,7,4,1,1,1,1,7,7,1,1,1,4,5,4,4,1,3,3,1,3,1,1,1,5,4,4,1,1,1
6,2,29,2,1,3,100,3,5,2,2,3,4,4,4,3,3,3,4,3,3,2,5,5,3,2,2,2,3,3,3,1,2,1,2,2,2,2,2,2,3,3,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,1,1,2,3,3,3,2,2,2,3,2,2,1,3,3,3,4,3,2,1,2,3,2,3,3,2,2,1,1,3,2,1,3,2,1,3,2,1,4,2,2,2
10,2,68,2,2,2,7,6,3,2,2,3,2,8,2,2,3,2,1,2,1,1,5,4,1,1,1,7,5,4,3,1,2,3,2,1,1,2,2,4,1,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,7,4,1,8,14,8,15,2,2,2,8,6,15,15,15,1,2,8,8,15,2,2,2,3,2,4,2,14,15,9,8,6,2
10,2,65,2,2,3,85,2,4,3,3,3,3,5,2,2,2,2,2,3,3,4,5,5,2,3,2,3,4,3,3,1,2,3,4,2,2,4,1,3,2,3,1,2,3,2,2,2,3,3,3,2,2,2,3,2,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,2,2,3,3,3,2,1,14,8,3,7,8,6,1,3,2,2,8,4,2,2,2,1,2,2,2,1,8,3,1,1,2,2,8,8,8,8,8,8,8
16,2,22,1,4,3,10,1,5,5,5,5,5,8,3,2,3,3,2,2,2,2,5,5,2,5,5,6,4,4,4,4,4,2,3,5,4,4,1,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,15,15,11,2,15,15,15,15,15,15,15,15,15,15,15,15,2,2,15,15,2,15,15,15,15,15,15,15,15,15,15,15
14,1,50,1,4,4,40,1,3,3,3,5,2,5,6,1,3,3,3,2,2,2,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,10,10,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,6,6,6,1,10,6
